City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
170,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.69,91,100,18.39,overcast clouds
171,Sola,VU,-13.8833,167.55,84.87,74,40,0.0,scattered clouds
172,Santo Augusto,BR,-27.8508,-53.7772,76.46,88,72,2.98,light rain
173,Oshawa,CA,43.9001,-78.8496,54.63,59,90,5.99,overcast clouds
174,Otane,NZ,-39.8833,176.6333,62.38,59,3,5.14,clear sky
175,Copiapo,CL,-27.3667,-70.3333,60.49,29,0,7.85,clear sky
176,Rio Grande,BR,-32.035,-52.0986,71.71,81,4,18.3,clear sky
177,Bethel,US,41.3712,-73.414,54.48,72,75,1.99,broken clouds
178,Pangnirtung,CA,66.1451,-65.7125,32.0,100,90,4.61,snow
179,Bintulu,MY,3.1667,113.0333,75.61,100,40,5.75,scattered clouds
180,Inverness,GB,57.4791,-4.224,46.31,96,100,11.5,light intensity drizzle
181,Balclutha,NZ,-46.2339,169.75,62.42,60,82,4.54,broken clouds
182,Maragogi,BR,-9.0122,-35.2225,78.84,61,99,8.72,overcast clouds
183,Shache,CN,38.4167,77.2406,47.21,34,16,6.26,few clouds
184,Sao Filipe,CV,14.8961,-24.4956,79.56,74,70,11.32,broken clouds
185,Kovdor,RU,67.5662,30.4758,24.42,98,26,3.42,scattered clouds
186,Mosquera,CO,4.7059,-74.2302,58.68,84,79,5.84,broken clouds
187,Valparaiso,CL,-33.0393,-71.6273,64.63,70,0,10.36,fog
188,Mae Sai,TH,20.4335,99.8762,74.52,99,50,1.28,light rain
189,Kamenka,RU,51.3223,42.7678,39.78,82,9,5.95,clear sky
190,Grootfontein,NA,-19.5667,18.1167,71.17,60,45,4.61,scattered clouds
191,Geraldton,AU,-28.7667,114.6,50.41,76,0,6.91,clear sky
192,Pangody,RU,65.85,74.4859,24.93,97,100,8.1,snow
193,Portland,US,45.5234,-122.6762,59.47,75,40,1.01,scattered clouds
194,Utete,TZ,-7.986,38.758,72.77,91,20,3.69,few clouds
195,Isangel,VU,-19.55,169.2667,80.71,74,7,5.75,clear sky
